Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Phil Mafah (39971505),Phil Mafah,39971505,RB/FLEX,4000,NYG@DAL 09/14/2025 01:00PM ET,DAL,0
RB,Eric Gray (39971617),Eric Gray,39971617,RB/FLEX,4000,NYG@DAL 09/14/2025 01:00PM ET,NYG,0
RB,Dante Miller (39971619),Dante Miller,39971619,RB/FLEX,4000,NYG@DAL 09/14/2025 01:00PM ET,NYG,0
RB,Hunter Luepke (39971621),Hunter Luepke,39971621,RB/FLEX,4000,NYG@DAL 09/14/2025 01:00PM ET,DAL,0
RB,Malik Davis (39971623),Malik Davis,39971623,RB/FLEX,4000,NYG@DAL 09/14/2025 01:00PM ET,DAL,0
QB,Kyle Allen (39971362),Kyle Allen,39971362,QB,4000,CHI@DET 09/14/2025 01:00PM ET,DET,0
QB,C.J. Beathard (39971363),C.J. Beathard,39971363,QB,4000,CHI@DET 09/14/2025 01:00PM ET,DET,0
QB,Case Keenum (39971364),Case Keenum,39971364,QB,4000,CHI@DET 09/14/2025 01:00PM ET,CHI,0
RB,Craig Reynolds (39971603),Craig Reynolds,39971603,RB/FLEX,4000,CHI@DET 09/14/2025 01:00PM ET,DET,0
RB,Sione Vaki (39971605),Sione Vaki,39971605,RB/FLEX,4000,CHI@DET 09/14/2025 01:00PM ET,DET,0
RB,Jacob Saylors (39971607),Jacob Saylors,39971607,RB/FLEX,4000,CHI@DET 09/14/2025 01:00PM ET,DET,0
RB,Kye Robichaux (39971609),Kye Robichaux,39971609,RB/FLEX,4000,CHI@DET 09/14/2025 01:00PM ET,DET,0
RB,Travis Homer (39971611),Travis Homer,39971611,RB/FLEX,4000,CHI@DET 09/14/2025 01:00PM ET,CHI,0
RB,Deion Hankins (39971613),Deion Hankins,39971613,RB/FLEX,4000,CHI@DET 09/14/2025 01:00PM ET,CHI,0
RB,Brittain Brown (39971615),Brittain Brown,39971615,RB/FLEX,4000,CHI@DET 09/14/2025 01:00PM ET,CHI,0
QB,Zach Wilson (39971329),Zach Wilson,39971329,QB,4000,NE@MIA 09/14/2025 01:00PM ET,MIA,1.58
QB,Joshua Dobbs (39971332),Joshua Dobbs,39971332,QB,4000,NE@MIA 09/14/2025 01:00PM ET,NE,0
QB,Tommy DeVito (39971338),Tommy DeVito,39971338,QB,4000,NE@MIA 09/14/2025 01:00PM ET,NE,0
QB,Quinn Ewers (39971361),Quinn Ewers,39971361,QB,4000,NE@MIA 09/14/2025 01:00PM ET,MIA,0
RB,Alexander Mattison (39971507),Alexander Mattison,39971507,RB/FLEX,4000,NE@MIA 09/14/2025 01:00PM ET,MIA,0
RB,Lan Larison (39971589),Lan Larison,39971589,RB/FLEX,4000,NE@MIA 09/14/2025 01:00PM ET,NE,0
RB,Deneric Prince (39971591),Deneric Prince,39971591,RB/FLEX,4000,NE@MIA 09/14/2025 01:00PM ET,NE,0
RB,Brock Lampe (39971593),Brock Lampe,39971593,RB/FLEX,4000,NE@MIA 09/14/2025 01:00PM ET,NE,0
RB,Terrell Jennings (39971595),Terrell Jennings,39971595,RB/FLEX,4000,NE@MIA 09/14/2025 01:00PM ET,NE,0
RB,Jeff Wilson Jr. (39971597),Jeff Wilson Jr.,39971597,RB/FLEX,4000,NE@MIA 09/14/2025 01:00PM ET,MIA,0
RB,JaMycal Hasty (39971599),JaMycal Hasty,39971599,RB/FLEX,4000,NE@MIA 09/14/2025 01:00PM ET,MIA,0
RB,Alec Ingold (39971601),Alec Ingold,39971601,RB/FLEX,4000,NE@MIA 09/14/2025 01:00PM ET,MIA,1.1
